Extension,Parent Format,Name,Coverage Level,Specification Link,Notes
_,,MS-DOS Installtion Compressed File,Identification,,
7z,,7z Archive,Identification,,
accdb,,Microsoft Access Database,Identification,,
apk,zip,Android Application Package,Identification,,
asf,,ASF Container,Metadata 3,,
bmp,,Bitmap Image,Identification,,
bmp,, Bitmap Icon,Identification,,
bup,oless,Symmantec malware container,Identification,,
bz2,,BZip2 Container,Identification,,
cab,,Microsoft Cabinet file,Identification,,
chm,,Complied Help File,Identification,,
cur,,Cursor,Identification,,
db,,SQLLite Database File,Identification,,
dex,,Dalvik Executable,Identification,,
dmp,,Windows Dump File,Identification,,
doc,oless,Microsoft Office Word Document,Metadata 3,,
doc,,Microsoft Word for Macintosh,Metadata 1,,
doc,,Microsoft Word,Metadata 1,,Pre OLESS storage (Word 1.0-5.0)
docm,zip,Microsoft Office Open XML Macro-Enabled Document,Identification,,
docx,zip,Microsoft Office Open XML Document,Identification,,
dotm,zip,Microsoft Office Open XML Macro-Enabled Document Template,Identification,,
dotx,zip,Microsoft Office Open XML Document Template,Identification,,
dwg,,Autocad Drawing,Identification,,
ear,zip,Enterprise Java Archive,Identification,,
elf,,ELF Executable,Identification,,
exe,,DOS Executable,Metadata 2,,
flac,,Free Lossless Audio Codec,Identification,,
flv,,Flash Video,Identification,,
gif,,GIF Image,Identification,,
gz,,GZIP Archive,Identification,,
hdmp,,Windows Dump File,Identification,,
hlp,,Microsoft Help File,Identification,,
hlp,,Ubuntu Help File,Identification,,
html,,HTML Document,Identification,,
hwp,oless,Hangul Word Processor File,Identification,,
ico,,Icon File,Identification,,
ipa,zip,iOS Application Archive,Identification,,
irm,oless,Microsoft Office Information Rights Managed File,Identification,,
iso,,ISO 9660 Disk Image,Identification,,
iso,,Universal Disk Format (ISO 13490/Ecma-168),Identification,,
jar,zip,Open Document Webpage,Identification,,
jbf,,Corel Paint Shop Pro browse file,Identification,,
jpg,,JPEG Image,Identification,,
kwd,zip,KWord Document,None,,
lha,,LHArc (lha/lzh) Archive,Identification,,
lib,,Microsoft Program Library Common Object File Format,Identification,,
lnk,,LNK File,Identification,,
mdb,,Microsoft Access Database,Identification,,
mdi,,Microsoft Office Document Imaging,Identification,,
midi,,MIDI Sound File,Identification,,
mp3,,MPEG-1 Layer 3 file,Identification,,
mp4,,Mp4 Container,Identification,,
mpp,oless,Microsoft Project File,Identification,,
msg,oless,Microsoft Outlook Mail Message,Identification,,
msi,oless,Microsoft Installer File,None,,
msp,oless,Microsoft Patch File,None,,
obj,,Microsoft Common Object File Format relocatable object code,Identification,,
odb,oless,Microsoft Office Binder,Identification,,
odb,zip,Open Document Text-Master,Identification,,
odc,zip,Open Document Graphics,Identification,,
odf,zip,Open Document Chart,Identification,,
odg,zip,Open Document Presentation,Identification,,
odi,zip,Open Document Formula,Identification,,
odm,zip,Open Document Image,Identification,,
ods,zip,Open Document Text,Identification,,
odt,zip,Microsoft XML Paper Specfication,Identification,,
oless,,OLE Structured Storage,Metadata 8,,
one,,Microsoft OneNote,Identification,,
onetoc2,,Microsoft OneNote Table of Contents,Identification,,
opd,zip,Open Document Spreadsheet,Identification,,
otc,zip,Open Document Graphics Template,Identification,,
otf,zip,Open Document Chart Template,Identification,,
otf,,Open Type Font,Identification,,
otg,zip,Open Document Presentation Template,Identification,,
oth,zip,Open Document Image Template,Identification,,
oti,zip,Open Document Formula Template,Identification,,
otp,zip,Open Document Spreadsheet Template,Identification,,
ots,zip,Open Document Text Template,Identification,,
ott,zip,Open Document Database,Identification,,
pcap,,Network Packet Capture File,Identification,,
pdb,,Microsoft Program Database 2.0,Identification,,
pdb,,Microsoft Program Database 7.0,Identification,,
pdf,,PDF document,Identification,,
pfm,,Postscript Font,Identification,,
png,,Portable Network Graphics,Identification,,
potm,zip,Microsoft Office Open XML Macro-Enabled Presentation Template,Identification,,
potx,zip,Microsoft Office Open XML Presentation Template,Identification,,
ppam,zip,Microsoft Office Open XML Presentation Macro-Enabled Addin,Identification,,
ppsm,zip,Microsoft Office Open XML Macro-Enabled Presentation Slideshow,Identification,,
ppsx,zip,Microsoft Office Open XML Presentation Slideshow,Identification,,
ppt,oless,Microsoft Office PowerPoint Document,Identification,,
ppt,,Microsoft Powerpoint,Metadata 3,,Pre OLESS powerpoint
pptm,zip,Microsoft Office Open XML Macro-Enabled Presentation,Identification,,
pptx,zip,Microsoft Office Open XML Presentation,Identification,,
